Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 27.62      0.29     0.29     5000     0.06     0.20  Board::drawBoard(_XDisplay*, unsigned long&, _XGC*&)
 12.86      0.43     0.14 51292673     0.00     0.00  std::vector<Cell, std::allocator<Cell> >::at(unsigned long)
 11.91      0.55     0.13 51312896     0.00     0.00  std::vector<std::vector<Cell, std::allocator<Cell> >, std::allocator<std::vector<Cell, std::allocator<Cell> > > >::at(unsigned long)
 10.95      0.67     0.12 51312896     0.00     0.00  std::vector<std::vector<Cell, std::allocator<Cell> >, std::allocator<std::vector<Cell, std::allocator<Cell> > > >::operator[](unsigned long)
 10.00      0.77     0.11 51332979     0.00     0.00  std::vector<std::vector<Cell, std::allocator<Cell> >, std::allocator<std::vector<Cell, std::allocator<Cell> > > >::size() const
  7.14      0.85     0.08 51292673     0.00     0.00  std::vector<Cell, std::allocator<Cell> >::_M_range_check(unsigned long) const
  6.67      0.92     0.07 51292673     0.00     0.00  std::vector<Cell, std::allocator<Cell> >::operator[](unsigned long)
  5.72      0.98     0.06 51318272     0.00     0.00  std::vector<Cell, std::allocator<Cell> >::size() const
  4.76      1.03     0.05 51312896     0.00     0.00  std::vector<std::vector<Cell, std::allocator<Cell> >, std::allocator<std::vector<Cell, std::allocator<Cell> > > >::_M_range_check(unsigned long) const
  1.91      1.05     0.02        5     4.00     4.00  void std::vector<Faction, std::allocator<Faction> >::emplace_back<>()
  0.48      1.05     0.01     6741     0.00     0.00  std::priority_queue<Move, std::vector<Move, std::allocator<Move> >, compareMove>::pop()
  0.00      1.05     0.00   307668     0.00     0.00  __gnu_cxx::__normal_iterator<Move*, std::vector<Move, std::allocator<Move> > >::__normal_iterator(Move* const&)
  0.00      1.05     0.00   297377     0.00     0.00  __gnu_cxx::__normal_iterator<Move*, std::vector<Move, std::allocator<Move> > >::operator*() const
  0.00      1.05     0.00   268639     0.00     0.00  __gnu_cxx::__normal_iterator<Move*, std::vector<Move, std::allocator<Move> > >::operator+(long) const
  0.00      1.05     0.00   135830     0.00     0.00  std::remove_reference<Move&>::type&& std::move<Move&>(Move&)
  0.00      1.05     0.00    74788     0.00     0.00  compareMove::operator()(Move, Move)
  0.00      1.05     0.00    59495     0.00     0.00  bool __gnu_cxx::__ops::_Iter_comp_iter<compareMove>::operator()<__gnu_cxx::__normal_iterator<Move*, std::vector<Move, std::allocator<Move> > >, __gnu_cxx::__normal_iterator<Move*, std::vector<Move, std::allocator<Move> > > >(__gnu_cxx::__normal_iterator<Move*, std::vector<Move, std::allocator<Move> > >, __gnu_cxx::__normal_iterator<Move*, std::vector<Move, std::allocator<Move> > >)
  0.00      1.05     0.00    57956     0.00     0.00  operator new(unsigned long, void*)
  0.00      1.05     0.00    53928     0.00     0.00  Cell::Cell()
  0.00      1.05     0.00    43996     0.00     0.00  __gnu_cxx::__normal_iterator<Move*, std::vector<Move, std::allocator<Move> > >::base() const
  0.00      1.05     0.00    41984     0.00     0.00  Cell const& std::forward<Cell const&>(std::remove_reference<Cell const&>::type&)
  0.00      1.05     0.00    41472     0.00     0.00  __gnu_cxx::__normal_iterator<Cell const*, std::vector<Cell, std::allocator<Cell> > >::base() const
  0.00      1.05     0.00    36736     0.00     0.00  Cell* std::__addressof<Cell>(Cell&)
  0.00      1.05     0.00    34560     0.00     0.00  std::move_iterator<Cell*>::base() const
  0.00      1.05     0.00    27604     0.00     0.00  Move&& std::forward<Move>(std::remove_reference<Move>::type&)
